Title,Body,Status,Priority,DueDate,Labels
"Setup Project Structure & Database","Initialize FastAPI project. Configure SQLAlchemy `database.py`, `models/base.py`. Setup Alembic for migrations.","Todo","P0","2025-12-16","Sprint 1, Infra"
"Implement User Model & Migrations","Create `User` model (email, username, hashed_password). Run `alembic revision --autogenerate`. Verify SQLite creation.","Todo","P0","2025-12-17","Sprint 1, Database"
"Implement Authentication Utilities","Install `passlib[bcrypt]`. Create `verify_password` and `get_password_hash` functions. Setup `python-jose` config.","Todo","P1","2025-12-18","Sprint 1, Auth"
"Create Auth API Endpoints","Implement `POST /signup` and `POST /login`. Create `get_current_user` dependency for route protection.","Todo","P0","2025-12-19","Sprint 1, Auth"
"Write Unit Tests for Auth","Create `tests/test_auth.py`. Test registration flow, login success, and 401 unauthorized access.","Todo","P1","2025-12-21","Sprint 1, Testing"
"Create Competition Model","Define `Competition` table (name, status, format). Create Many-to-Many table `competition_players`. Run Migrations.","Todo","P1","2025-12-23","Sprint 2, Database"
"Implement Competition CRUD","Create endpoints: `POST /competitions`, `GET /competitions`, `GET /competitions/{id}`. Ensure only Auth users can create.","Todo","P1","2025-12-24","Sprint 2, Feature"
"Implement Inscription Logic (Join/Leave)","Create `POST /competitions/{id}/join` and `DELETE /leave`. Validate that competition status is PLANNED before joining.","Todo","P1","2025-12-26","Sprint 2, Feature"
"Write Tests for Competitions","Create `tests/test_competitions.py`. Verify user inscription and duplicate join prevention.","Todo","P2","2025-12-28","Sprint 2, Testing"
"Create Match Model","Define `Match` table (white_id, black_id, result, pgn). Link to Competition. Run Migrations.","Todo","P1","2025-12-30","Sprint 3, Database"
"Implement Round Robin Pairing Logic","Write service function to generate all matches for a list of players. Create endpoint `POST /start` to trigger this.","Todo","P1","2026-01-02","Sprint 3, Logic"
"Implement Result Submission & Standings","Create `POST /result` to save scores. Create `StandingsService` to calculate points (Win=1, Draw=0.5).","Todo","P0","2026-01-03","Sprint 3, Feature"
"Write Tests for Match Engine","Create `tests/test_matchmaking.py`. detailed test: Start comp -> Check match count -> Submit result -> Check standings points.","Todo","P2","2026-01-05","Sprint 3, Testing"
"Add PGN Validation","Integrate `python-chess` or regex to validate moves string in `pgn_blueprint` field.","Todo","P2","2026-01-07","Sprint 4, Polish"
"Refactor & CORS Configuration","Move routes to `app/api/v1/routers`. Add `CORSMiddleware` for frontend integration. Clean up `main.py`.","Todo","P1","2026-01-09","Sprint 4, Refactor"
"Dockerize Application","Create `Dockerfile` and `docker-compose.yml` (Web + Postgres). Ensure app boots correctly in container.","Todo","P2","2026-01-11","Sprint 4, DevOps"
"Final Integration Test","Run full suite `pytest`. Verify all logic from Auth to Standings works in harmony.","Todo","P0","2026-01-12","Sprint 4, Testing"
